,adk,atpA,dxr,glyA,recA,sodA,tpi,mlst_clade
0,1,1,1,10,1,3,5,2
1,1,1,2,1,5,3,1,1
2,1,1,2,1,1,1,1,1
3,1,2,2,1,1,5,3,1
4,1,6,4,7,2,8,7,3
5,2,1,6,1,1,5,1,1
6,1,1,7,1,1,5,1,1
7,1,1,2,6,1,5,1,1
8,1,1,6,1,1,6,1,1
9,2,1,2,1,1,3,1,1
10,5,8,5,11,9,11,8,5
11,1,1,6,4,3,5,1,1
12,1,1,6,1,5,3,1,1
13,1,1,2,1,5,5,3,1
14,1,1,6,1,8,5,1,1
15,1,1,2,6,1,3,1,1
16,1,1,2,1,1,5,3,1
17,1,1,2,5,1,3,1,1
18,1,1,8,2,1,1,3,1
19,1,1,8,1,1,4,3,1
20,2,2,2,1,1,1,3,1
21,1,1,4,7,2,8,7,3
22,3,7,14,14,11,16,15,4
23,1,1,8,12,1,4,3,1
24,6,6,4,7,2,8,7,3
25,1,1,6,1,4,3,4,1
26,1,1,6,1,1,3,4,1
27,1,1,2,1,1,3,1,1
28,1,1,2,16,1,3,1,1
29,8,7,14,8,6,16,15,4
30,1,5,7,6,1,1,1,1
31,1,1,11,1,1,3,2,2
32,1,1,2,1,6,5,3,1
33,1,5,7,1,1,3,1,1
34,2,5,8,1,1,3,6,1
35,2,1,2,3,1,5,1,1
36,3,7,3,8,6,9,11,4
37,3,7,10,8,6,2,9,4
38,3,7,10,8,7,2,10,4
39,4,5,6,1,3,1,1,1
40,1,1,9,9,1,3,2,2
41,1,1,2,1,1,7,1,1
42,1,7,6,1,1,5,6,1
43,2,5,2,1,1,3,1,1
44,4,1,6,1,1,5,1,1
45,4,1,6,1,1,10,1,1
46,1,1,11,17,1,3,2,2
47,1,1,2,1,1,5,1,1
48,1,1,2,1,5,3,3,1
49,1,1,6,1,5,3,17,1
50,1,1,2,6,1,7,6,1
51,1,1,2,6,1,12,1,1
52,1,2,2,1,1,5,1,1
53,1,4,7,1,1,3,3,1
54,1,1,6,6,1,12,12,1
55,1,3,6,3,1,5,1,1
56,1,1,6,4,3,5,13,1
57,1,5,7,1,1,13,1,1
58,1,3,6,15,1,17,1,1
59,1,3,15,15,1,3,1,1
60,1,5,11,1,1,3,2,2
61,1,1,1,9,1,3,1,2
62,1,1,7,5,1,3,3,1
63,1,1,6,1,1,13,1,1
64,1,1,7,3,1,5,6,1
65,1,1,2,6,1,5,3,1
66,1,1,9,9,1,3,5,2
67,1,4,2,1,5,3,1,1
68,1,1,7,1,1,1,1,1
69,1,3,6,3,1,14,1,1
70,4,1,6,1,1,15,1,1
71,2,1,6,13,1,5,1,1
72,1,2,12,1,1,5,1,1
73,1,1,13,1,3,1,14,1
74,7,3,13,1,10,1,1,1
75,1,1,6,1,1,1,1,1
76,2,1,6,1,3,5,1,1
77,4,1,6,1,1,1,1,1
78,1,3,2,1,1,1,16,1
79,1,1,13,1,3,1,3,1
80,3,1,3,8,6,9,11,4
81,1,1,6,1,1,1,3,1
82,1,1,6,1,1,3,1,1
83,1,9,2,1,1,1,1,1
84,1,10,7,1,1,3,3,1
85,3,7,3,8,6,19,11,4
86,3,7,3,8,6,20,10,4
87,9,7,3,8,6,18,10,4
88,2,1,6,1,1,21,1,1
89,2,1,16,1,1,5,1,1
90,1,1,6,6,1,6,1,1
91,1,1,2,3,1,5,1,1
92,3,7,3,8,11,20,10,4
93,2,1,6,1,1,10,1,1
94,1,5,11,17,1,3,1,2
95,1,6,4,7,12,8,7,3
96,1,1,11,1,1,22,1,2
97,1,1,2,6,1,1,3,1
98,1,11,6,6,1,12,12,1
99,1,1,6,19,2,24,1,1
100,1,2,2,1,1,23,1,1
101,1,1,2,1,5,5,1,1
102,1,1,2,15,8,5,3,1
103,1,1,13,1,1,1,6,1
104,2,2,4,1,1,1,3,1
105,2,1,2,10,1,5,1,1
106,4,1,6,1,3,1,1,1
107,1,1,6,1,8,5,5,1
108,3,12,10,18,6,18,15,4
109,1,1,2,1,13,3,1,1
110,1,1,2,1,1,3,3,1
111,1,1,7,3,1,5,3,1
112,2,1,17,1,1,5,1,1
113,1,1,9,9,1,1,18,2
114,1,1,2,6,1,7,3,1
115,1,1,9,9,1,22,5,2
116,1,1,7,1,2,5,1,1
117,1,13,2,1,1,1,19,1
118,1,1,2,20,1,5,1,1
119,1,1,1,1,5,3,1,2
120,3,7,3,8,7,2,10,4
121,1,14,9,1,1,3,2,2
122,11,7,14,14,6,20,9,4
123,4,1,6,1,4,26,1,1
124,1,3,6,1,1,3,3,1
125,11,7,10,8,6,20,15,4
126,1,1,9,21,1,27,2,2
127,1,3,6,1,1,1,3,1
128,1,1,18,9,1,22,2,2
129,2,1,6,8,1,5,1,1
130,5,1,6,1,5,3,1,1
131,1,1,7,1,1,3,3,1
132,1,3,2,15,1,3,3,1
133,1,1,2,8,1,7,1,1
134,2,1,6,16,1,5,13,1
135,1,1,2,3,1,3,1,1
136,2,1,2,16,1,5,1,1
137,2,1,2,1,1,1,3,1
138,1,1,9,9,1,1,2,2
139,1,3,7,1,3,1,6,1
140,8,7,14,8,6,25,15,4
141,1,11,6,16,1,1,1,1
142,1,1,2,2,1,5,3,1
143,4,1,6,1,1,10,12,1
144,1,1,2,6,1,5,4,1
145,10,8,5,11,9,11,8,5
146,5,8,5,11,9,11,20,5
147,1,1,2,6,1,7,1,1
148,1,1,6,1,3,5,1,1
149,1,1,6,1,1,3,3,1
150,1,1,13,1,1,1,3,1
151,1,1,13,5,3,1,1,1
152,1,1,9,1,1,3,2,2
153,12,1,16,1,5,5,1,1
154,1,1,9,22,14,3,2,2
155,1,1,9,23,1,3,2,2
156,3,7,10,8,7,2,15,4
157,3,7,10,8,6,2,10,4
158,2,5,2,6,1,3,1,1
159,5,8,5,11,9,11,21,5
160,1,6,4,7,2,30,7,3
161,5,8,5,24,15,28,23,5
162,5,15,5,27,15,29,20,5
163,1,16,2,1,1,5,1,1
164,5,15,5,25,15,29,8,5
165,5,8,5,27,15,29,22,5
166,10,8,19,11,15,29,22,5
167,5,8,5,26,15,29,8,5
168,9,7,3,8,6,2,15,4
169,1,7,13,1,3,12,1,1
170,1,1,20,3,1,5,3,1
171,5,8,5,11,15,29,24,5
172,5,8,5,28,15,29,23,5
173,1,1,21,1,1,3,2,2
174,1,1,9,9,1,1,25,2
175,2,1,16,1,5,12,1,1
176,1,1,24,6,1,5,1,1
177,1,1,25,34,1,1,1,1
178,2,1,16,1,5,5,1,1
179,5,8,5,11,15,11,8,5
180,5,8,5,13,9,11,8,5
181,1,1,9,9,14,5,2,2
182,1,1,6,1,1,10,1,1
183,14,1,26,1,4,3,1,1
184,1,5,6,35,1,33,1,1
185,1,5,11,1,1,3,1,2
186,5,8,5,1,9,34,3,5
187,1,1,11,23,1,1,1,2
188,5,20,27,36,9,11,8,5
189,1,1,9,37,14,3,2,2
190,1,1,1,10,1,5,5,2
191,11,7,2,7,20,20,10,4
192,1,1,2,1,1,35,6,1
193,1,6,4,7,2,8,31,3
194,1,22,2,1,22,1,1,1
195,1,3,13,1,5,23,1,1
196,5,8,5,41,9,11,8,5
197,2,7,8,1,1,3,6,1
198,1,6,4,7,2,8,11,3
199,1,4,7,1,1,3,6,1
200,1,11,6,6,1,12,6,1
201,1,1,2,1,5,3,12,1
202,3,7,3,8,6,9,29,4
203,3,7,3,8,6,9,6,4
204,3,7,3,8,6,9,1,4
205,2,5,8,1,1,3,1,1
206,3,7,3,1,6,9,11,4
207,1,4,7,8,1,3,3,1
208,1,6,4,7,2,8,29,3
209,1,1,1,1,1,3,2,2
210,1,1,11,17,1,3,5,2
211,1,1,9,10,1,3,2,2
212,1,1,6,5,1,33,5,1
213,1,1,9,23,14,1,2,2
214,1,1,1,1,1,3,1,2
215,1,1,11,5,1,33,1,2
216,1,1,9,5,1,33,2,2
217,1,1,9,9,14,3,1,2
218,1,1,9,9,14,3,2,2
219,1,5,9,9,1,3,5,2
220,1,1,2,16,1,12,1,1
221,1,3,6,1,1,5,1,1
222,1,3,6,1,1,5,6,1
223,1,1,6,16,1,17,6,1
224,1,1,2,1,1,12,1,1
225,3,12,10,8,6,18,15,4
226,1,3,6,1,1,1,6,1
227,1,1,7,8,2,5,1,1
228,11,7,10,14,6,20,15,4
229,1,1,2,1,1,18,1,1
230,11,7,14,14,6,20,10,4
231,1,1,2,15,1,1,1,1
232,1,5,6,1,22,1,1,1
233,1,5,2,6,1,3,1,1
234,2,5,2,1,1,3,6,1
235,1,1,2,1,1,5,12,1
236,1,1,2,1,5,5,16,1
237,1,1,2,5,3,1,1,1
238,2,1,6,3,1,5,1,1
239,1,5,9,37,1,1,2,2
240,1,1,18,9,1,3,2,2
241,11,7,14,14,6,20,15,4
242,2,1,6,3,8,1,1,1
243,1,1,6,1,5,5,1,1
244,1,3,6,1,1,35,1,1
245,5,24,5,11,9,11,36,5
246,11,25,10,42,6,20,15,4
247,17,7,14,43,6,39,15,4
248,3,7,3,8,7,20,37,4
249,11,7,10,44,6,20,10,4
250,1,1,2,6,1,40,3,1
251,1,1,9,9,1,41,2,2
252,1,1,2,1,5,42,1,1
253,3,26,10,8,6,18,15,4
254,1,1,2,1,1,43,35,1
255,1,1,6,1,1,44,1,1
256,18,1,11,9,1,3,5,2
257,1,5,7,1,1,13,34,1
258,1,1,2,45,1,1,1,1
259,1,1,6,1,24,5,1,1
260,11,7,14,46,6,20,9,4
261,5,8,5,47,1,11,8,5
262,1,1,9,23,1,3,38,2
263,1,1,9,23,1,1,39,2
264,2,1,6,6,1,12,12,1
265,5,8,5,27,15,28,8,5
266,1,6,4,7,25,8,7,3
267,1,1,2,3,1,5,3,1
268,2,1,2,1,1,1,11,1
269,1,1,2,3,1,5,6,1
270,1,1,7,1,5,3,1,1
271,1,1,6,1,1,5,6,1
272,1,27,6,1,1,1,6,1
273,1,1,2,1,27,1,1,1
274,1,3,6,46,1,1,6,1
275,1,28,2,1,5,3,1,1
276,1,1,6,1,8,1,1,1
277,11,7,10,14,6,20,10,4
278,1,5,6,1,4,3,4,1
279,19,7,14,43,6,45,15,4
280,1,1,6,9,1,33,41,1
281,1,1,16,1,1,1,1,1
282,20,1,2,6,1,5,1,1
283,2,5,2,1,1,3,43,1
284,21,1,32,1,1,1,1,1
285,1,1,33,1,1,5,44,1
286,1,1,2,49,1,5,1,1
287,11,32,14,14,6,20,10,4
288,1,1,13,1,1,1,45,1
289,1,1,2,3,28,5,44,1
290,5,8,5,27,15,29,8,5
291,5,8,5,27,15,29,23,5
292,22,8,5,11,9,11,8,5
293,1,1,6,1,4,3,6,1
294,1,11,2,5,1,5,1,1
295,11,7,10,43,6,20,15,4
296,1,1,2,15,8,5,6,1
297,1,1,2,6,1,12,3,1
298,1,5,2,1,1,5,1,1
299,1,7,2,6,1,5,1,1
300,2,1,2,3,1,3,1,1
301,1,2,2,1,1,5,4,1
302,1,7,14,14,6,20,47,4
303,1,1,2,4,28,5,44,1
304,4,1,34,1,4,26,1,1
305,1,1,10,1,4,3,4,1
306,3,7,14,8,6,16,15,4
307,1,1,36,6,1,5,1,1
308,1,1,2,51,5,5,1,1
309,1,1,7,1,6,5,1,1
310,1,1,6,1,1,3,6,1
311,3,1,3,8,32,9,11,4
312,1,5,11,23,1,51,1,2
313,1,1,24,4,1,1,1,1
314,1,1,1,10,1,3,1,2
315,1,1,2,1,1,1,3,1
316,1,1,2,1,5,7,1,1
317,5,5,7,1,1,13,1,1
318,2,5,7,1,1,3,1,1
319,1,1,6,16,1,1,1,1
320,1,1,9,6,1,3,2,2
321,1,11,6,4,1,1,1,1
322,1,1,1,5,1,1,1,2
323,1,1,9,23,14,3,2,2
324,1,1,44,9,1,27,5,2
325,2,5,8,1,1,54,6,1
326,1,5,2,1,5,3,1,1
327,1,5,1,10,1,3,5,2
328,1,5,11,17,1,22,2,2
329,1,5,46,17,1,3,1,1
330,1,42,7,1,1,13,1,1
331,3,7,3,7,6,9,11,4
332,1,1,6,5,4,3,4,1
333,1,1,24,4,1,17,1,1
334,1,2,24,5,6,6,4,1
335,10,1,2,4,1,5,2,1
336,1,1,2,15,2,1,1,1
337,3,1,3,1,6,9,11,4
338,1,11,6,1,1,12,12,1
339,2,5,3,1,1,3,6,1
340,1,1,3,1,1,1,1,1
341,5,8,5,28,15,28,59,5
342,31,8,5,26,15,29,8,5
343,5,8,5,1,9,55,3,5
344,1,7,4,60,2,8,7,3
345,1,6,4,1,2,30,7,3
346,5,8,5,24,15,29,23,5
347,5,8,5,11,15,29,8,5
348,5,8,5,1,9,11,3,5
349,1,5,9,23,1,1,5,2
350,1,1,9,9,1,5,2,2
351,1,1,11,23,1,51,1,2
352,1,3,2,1,1,1,1,1
353,1,3,6,1,8,5,1,1
354,1,4,8,1,1,3,3,1
355,1,29,2,1,1,5,3,1
356,3,7,10,8,6,18,15,4
357,11,7,14,63,6,20,9,4
358,2,1,16,62,5,5,1,1
359,19,7,48,8,6,20,47,4
360,1,45,6,1,8,5,1,1
361,1,4,2,1,5,3,3,1
362,1,1,13,1,3,12,6,1
363,3,1,3,8,6,9,1,4
364,1,6,4,7,2,8,10,3
365,1,1,2,1,6,7,1,1
366,34,6,4,7,2,8,7,3
367,1,1,2,66,1,7,10,1
368,5,8,5,11,9,11,63,5
369,35,1,1,10,1,3,5,2
370,36,1,1,10,1,3,5,2
371,1,1,2,67,5,3,1,1
372,1,1,2,1,1,57,1,1
373,1,1,16,1,1,5,1,1
374,1,1,2,68,1,1,1,1
375,1,1,2,3,1,5,9,1
376,1,1,2,3,1,5,15,1
377,1,1,2,46,5,3,1,1
378,1,1,2,16,5,43,3,1
379,1,1,6,23,1,33,1,1
380,1,1,11,1,1,1,1,2
381,1,1,13,1,3,1,9,1
382,1,1,50,15,1,5,1,1
383,1,3,9,9,1,3,2,2
384,1,5,7,1,1,19,1,1
385,1,5,9,23,1,1,39,2
386,1,7,14,46,6,20,9,4
387,3,1,3,8,6,20,10,4
388,4,1,6,1,4,26,65,1
389,9,7,3,70,6,18,37,4
390,9,7,3,8,6,18,37,4
391,11,7,10,14,6,20,66,4
392,11,7,14,46,6,58,10,4
393,11,7,49,14,6,20,10,4
394,14,1,26,1,39,3,1,1
395,37,1,11,1,1,3,1,2
396,39,3,2,16,3,1,6,1
397,40,5,9,71,1,1,2,2
398,1,1,6,1,8,3,1,1
399,1,1,2,23,5,3,1,1
400,1,1,6,1,8,6,1,1
401,1,1,2,13,5,3,1,1
402,1,11,2,73,1,5,1,1
403,1,6,4,1,2,8,7,3
404,1,1,2,7,1,7,1,1
405,1,4,6,16,1,60,1,1
406,11,25,10,14,6,20,15,4
407,1,1,2,20,1,1,1,1
408,1,5,9,23,1,1,2,2
409,1,1,9,23,1,1,2,2
410,1,43,9,23,1,1,38,2
411,1,43,9,37,1,1,2,2
412,11,7,14,14,41,20,9,4
413,1,50,2,1,1,1,1,1
414,1,4,7,5,1,3,3,1
415,1,1,8,1,1,3,3,1
416,1,11,51,1,40,3,3,1
417,1,1,2,6,1,17,3,1
418,3,7,10,14,6,20,9,4
